ds,stationery_name,division,yhat,yhat_lower,yhat_upper
2025-06-30,Amplop,Accounting,250.6646625943671,197.8351787617872,299.93378906225894
2025-07-31,Amplop,Accounting,2.237163871515193,-48.802045780575675,52.04208880936641
2025-08-31,Amplop,Accounting,167.5926165092698,116.76413149093572,222.38873617289397
2025-09-30,Amplop,Accounting,302.02703170629854,247.06383183278174,354.23308853666174
2025-10-31,Amplop,Accounting,229.30574788223365,176.23247927807827,284.8292924191955
2025-11-30,Amplop,Accounting,-139.5352545992619,-191.55652241854875,-92.8818734890424
2025-06-30,Amplop,Finance,197.0928310764889,184.72669240977555,209.60412593717535
2025-07-31,Amplop,Finance,150.14463284594513,138.4637233969839,163.48946037965308
2025-08-31,Amplop,Finance,132.95276855467165,120.92154343293278,145.63129765853878
2025-09-30,Amplop,Finance,254.08272962854943,241.86859925468963,266.870530911721
2025-10-31,Amplop,Finance,118.76103884325897,106.56406101393038,130.93174265983345
2025-11-30,Amplop,Finance,138.76530712450386,125.8559916387001,152.7010269779263
2025-06-30,Amplop,HR,166.65426813513156,94.04384082311745,250.22843999476348
2025-07-31,Amplop,HR,167.6996760461371,92.03972468157967,242.8169388009756
2025-08-31,Amplop,HR,168.74508395714267,96.00825656438172,247.68406393562734
2025-09-30,Amplop,HR,169.7567690323093,95.05854875872573,248.46864812357776
2025-10-31,Amplop,HR,170.80217694331483,92.39150367269539,250.60096483764062
2025-06-30,Amplop,HSE,227.52202910312303,216.1153315185824,239.1329106496868
2025-07-31,Amplop,HSE,416.33041845834566,404.79654837088293,427.8429463646202
2025-08-31,Amplop,HSE,11.261087538578806,-0.3520057302023635,22.928122436898057
2025-09-30,Amplop,HSE,-7.219991171080125,-18.056542087342013,4.171554166077502
2025-10-31,Amplop,HSE,155.24196282723108,144.14210986415452,167.32982029066127
2025-11-30,Amplop,HSE,188.94213991201582,176.4339161004676,199.91905575333806
2025-06-30,Amplop,IT,111.33343755558705,77.3704234137441,144.0139125838396
2025-07-31,Amplop,IT,-54.32168616529336,-88.9498601916337,-21.109132269628574
2025-08-31,Amplop,IT,217.13626518888952,183.67559867392475,251.32096604478969
2025-09-30,Amplop,IT,261.44446241783766,226.63293199022948,296.98871714187305
2025-10-31,Amplop,IT,138.97560713868404,105.71875443161639,175.1652922780851
2025-11-30,Amplop,IT,136.05530862772866,99.73896417540038,168.62570792643785
2025-06-30,Amplop,Marketing,185.49288784776297,179.35453645708367,190.96765754884248
2025-07-31,Amplop,Marketing,148.505288769821,142.78770109089635,154.56884652881445
2025-08-31,Amplop,Marketing,82.12201818114777,76.04695850765836,88.53425407836252
2025-09-30,Amplop,Marketing,408.95550970854475,402.81571929525575,414.83455282837707
2025-10-31,Amplop,Marketing,32.82100584044021,26.827636271848114,39.25777542857076
2025-11-30,Amplop,Marketing,5.542478995331848,-0.7170724057682172,12.154016075510542
2025-06-30,Amplop,PR,218.093971462163,161.0577876072507,273.6839680243877
2025-07-31,Amplop,PR,23.250937450575663,-35.40613806099492,81.17525874684172
2025-08-31,Amplop,PR,51.112452856782625,-6.7831957761917865,112.6776518489635
2025-09-30,Amplop,PR,366.85545613032707,310.7463291142569,423.680271590415
2025-10-31,Amplop,PR,-5.7567316831712105,-61.5198909589278,54.50289846880256
2025-11-30,Amplop,PR,25.043474985714525,-32.2035346281712,86.88368833608857
2025-06-30,Amplop,Production,234.5318912028888,181.47706760158096,286.4326701136687
2025-07-31,Amplop,Production,213.05285368851514,160.60266476991134,271.30077755191684
2025-08-31,Amplop,Production,98.26916358526795,37.1313546778193,152.3238559377769
2025-09-30,Amplop,Production,83.87058457509252,29.32186279350843,142.89828217188298
2025-10-31,Amplop,Production,106.68038301664635,54.82934562034235,162.302400671044
2025-11-30,Amplop,Production,-11.160180111399995,-66.19461950893471,45.731148278670474
2025-06-30,Amplop,Purchasing,318.4140755531845,276.00681045113834,356.66039525226995
2025-07-31,Amplop,Purchasing,122.41937631224819,83.11875697791743,158.7367534228126
2025-08-31,Amplop,Purchasing,201.10230912146196,162.55527513945853,239.54514664293896
2025-09-30,Amplop,Purchasing,127.49128086425264,88.37460410747704,167.50282506472638
2025-10-31,Amplop,Purchasing,219.4334453779414,178.57683312934674,257.2395239237515
2025-11-30,Amplop,Purchasing,173.86706165522708,135.02614266685336,211.7073249022544
2025-06-30,Amplop,QC,175.48096507964803,73.73417777331925,280.3845978444438
2025-07-31,Amplop,QC,177.34268293377465,82.38182638838985,288.33211704493647
2025-08-31,Amplop,QC,179.20440078790125,70.56279747342309,271.77686055264815
2025-09-30,Amplop,QC,181.0060632273786,76.04449610911018,285.73570061014124
2025-10-31,Amplop,QC,182.86778108150523,81.56995825449886,282.82282565529187
2025-06-30,Amplop,Sales,267.20195237317,245.29222468787407,289.4188769061018
2025-07-31,Amplop,Sales,22.96703651381077,0.16249086681179897,47.41433069845049
2025-08-31,Amplop,Sales,-45.277550893696485,-67.64539899602244,-22.19911657827295
2025-09-30,Amplop,Sales,178.4716286009252,156.7594452561575,200.22695506755898
2025-10-31,Amplop,Sales,364.5033439314583,341.5370861641698,388.48815497601504
2025-11-30,Amplop,Sales,4.396766685832262,-17.62187928314331,25.487959901982986
2025-06-30,Cap,Accounting,329.1827996273812,309.5196853577343,349.12029617235385
2025-07-31,Cap,Accounting,313.8609932706345,294.0124725173855,333.17643018316335
2025-08-31,Cap,Accounting,151.18255774737156,132.1973690191085,170.04786288317604
2025-09-30,Cap,Accounting,74.33501104678439,54.959974443585914,93.0045920316863
2025-10-31,Cap,Accounting,154.22869156220182,137.16920843108073,173.63725903533347
2025-11-30,Cap,Accounting,35.795264972272264,16.609682306079403,54.80422256462788
2025-06-30,Cap,Finance,-57.857389689375964,-67.35367573583132,-48.92864156992643
2025-07-31,Cap,Finance,6.520781514289794,-3.4367261896352623,15.550598424386141
2025-08-31,Cap,Finance,183.96111113683656,174.48567622883394,193.97594731162368
2025-09-30,Cap,Finance,52.29021720571356,41.152650739684546,64.07862020595744
2025-10-31,Cap,Finance,56.25177670933611,45.483965093053754,69.36104444423694
2025-11-30,Cap,Finance,-46.141876103665034,-60.18790246130667,-30.890011511961518
2025-06-30,Cap,HR,131.11237943487947,124.97485079137682,136.78012874343835
2025-07-31,Cap,HR,257.58234732637186,251.71360155879327,263.90011138176436
2025-08-31,Cap,HR,59.30729236205747,53.778259691950055,64.90053757602305
2025-09-30,Cap,HR,141.5348353938028,136.01870208836456,147.45904846807113
2025-10-31,Cap,HR,165.32106306769586,159.6000113515492,170.79275066822862
2025-11-30,Cap,HR,142.59773557875448,136.70705346735022,147.82920012857426
2025-06-30,Cap,HSE,116.98170220780335,94.84211393932789,139.70624594019745
2025-07-31,Cap,HSE,138.3556569400887,114.7994370230694,160.23467434645733
2025-08-31,Cap,HSE,6.9033372289809165,-14.755933305762804,28.984298676867787
2025-09-30,Cap,HSE,333.7652542110214,311.84247432461154,356.9419273563231
2025-10-31,Cap,HSE,-11.418061967317257,-33.373952867086984,10.505040109988643
2025-11-30,Cap,HSE,254.8877397058615,233.52679231355717,277.0097367470732
2025-06-30,Cap,IT,95.77956327932287,48.83919317164616,138.2959446355567
2025-07-31,Cap,IT,-69.49458783921442,-115.24706250479848,-23.986566985147054
2025-08-31,Cap,IT,39.30070599974959,-6.099428106494551,85.16469558401816
2025-09-30,Cap,IT,179.95008357757925,137.6529973279707,223.1124945092253
2025-10-31,Cap,IT,253.61746016691734,206.98069755605943,298.30049854464835
2025-11-30,Cap,IT,8.405508748597867,-36.453126345856454,54.21690672265674
2025-06-30,Cap,Marketing,125.62097690031257,116.65643055372698,134.21803454739168
2025-07-31,Cap,Marketing,-35.25333508067709,-44.23700928040802,-26.654987576494758
2025-08-31,Cap,Marketing,174.3836226300299,165.46631766559702,182.84700246150254
2025-09-30,Cap,Marketing,150.09563380158795,141.88060044622992,158.82585145690257
2025-10-31,Cap,Marketing,256.44881649616286,248.3014437757697,265.0212837299813
2025-11-30,Cap,Marketing,-3.3537967149561894,-12.301379325938099,5.737859159711691
2025-06-30,Cap,PR,18.614186994934983,-14.603592863961229,51.96420526363634
2025-07-31,Cap,PR,284.1602135196599,253.2692225368267,318.76956622883034
2025-08-31,Cap,PR,203.52923336269674,169.283606656626,239.1648594489009
2025-09-30,Cap,PR,175.68559530270355,144.06547041798243,209.90061500163938
2025-10-31,Cap,PR,153.08854935562064,120.92562895282518,186.52290472351967
2025-11-30,Cap,PR,325.4474107850488,289.6696954741928,358.5115197785147
2025-06-30,Cap,Production,116.88834741151624,93.30093453124569,141.2116180348378
2025-07-31,Cap,Production,73.95841562638087,51.54163161936326,96.50343936479877
2025-08-31,Cap,Production,157.67133702116166,134.60276601552567,182.27837324601728
2025-09-30,Cap,Production,185.3335797763575,161.5011080304737,207.8596228158052
2025-10-31,Cap,Production,242.29799282131205,218.54095126049242,266.4150357857517
2025-11-30,Cap,Production,84.8808023606734,59.79188977210432,109.28992559255495
2025-06-30,Cap,Purchasing,350.7905207586688,336.5404577489167,365.41760322283653
2025-07-31,Cap,Purchasing,260.9454830556492,245.50078520329285,275.6619396614167
2025-08-31,Cap,Purchasing,155.73672785199636,140.60673218052088,170.58599951534876
2025-09-30,Cap,Purchasing,67.89385060206003,51.729448337485856,82.70658550848673
2025-10-31,Cap,Purchasing,155.25619103935344,138.81406976976473,170.59398780591818
2025-11-30,Cap,Purchasing,131.15831224598884,114.37394081434084,147.60590492594548
2025-06-30,Cap,QC,106.29369767602114,61.4185833465722,149.96180910690902
2025-07-31,Cap,QC,69.14120683128559,28.201439343958306,114.0448227704489
2025-08-31,Cap,QC,156.83388833169948,112.99213334322906,204.14262906521856
2025-09-30,Cap,QC,83.58606829152467,37.09326109080947,126.76362315780108
2025-10-31,Cap,QC,261.22976120405326,219.23006218087585,305.0824069967327
2025-11-30,Cap,QC,190.71965145598585,142.86542245772267,238.52834870132662
2025-06-30,Cap,Sales,131.75298962050823,126.61275864515943,136.4353500613245
2025-07-31,Cap,Sales,175.52076256784892,170.4376641263355,181.1800644783366
2025-08-31,Cap,Sales,112.17008228152167,106.52784200643598,117.79596675925524
2025-09-30,Cap,Sales,258.72508586567835,252.54436063296578,265.0497418849023
2025-10-31,Cap,Sales,219.54407040415967,212.09518504808932,226.64348988816167
2025-11-30,Cap,Sales,392.8306379806434,384.32687507809953,401.5367343942127
2025-06-30,Cutter,Accounting,168.63101663615964,128.11205412087008,208.07807503985973
2025-07-31,Cutter,Accounting,112.9901596045587,76.39512220972644,150.33423670394683
2025-08-31,Cutter,Accounting,154.12344806284656,113.63828083441642,188.7175199058376
2025-09-30,Cutter,Accounting,233.17336654440507,193.04429002929908,271.38333648752786
2025-10-31,Cutter,Accounting,-4.124812464511507,-40.69112085176694,35.464420244888956
2025-11-30,Cutter,Accounting,352.42475654789627,314.6738543372116,390.2286524482599
2025-06-30,Cutter,Finance,97.1121758633571,90.6061566099159,103.27701510083168
2025-07-31,Cutter,Finance,181.03359133875864,174.62366921948006,187.0580058142552
2025-08-31,Cutter,Finance,51.137275696490775,45.058262793457025,57.67540282070737
2025-09-30,Cutter,Finance,94.36433896947716,88.48473630487526,101.01605189454385
2025-10-31,Cutter,Finance,-6.9141867982406495,-12.922283265759647,-1.1222122754849357
2025-11-30,Cutter,Finance,128.67942555546702,123.0308447194728,135.27040489637432
2025-06-30,Cutter,HR,-203.4215546253154,-250.4891671028886,-156.4911802182775
2025-07-31,Cutter,HR,55.64978185579448,8.08304472383396,106.5393108550972
2025-08-31,Cutter,HR,248.3183423576674,201.56051175911526,295.5205561671431
2025-09-30,Cutter,HR,271.6212167413996,224.98997373939036,322.1580390742215
2025-10-31,Cutter,HR,-119.84379869993471,-169.03318581161588,-75.22093908327453
2025-11-30,Cutter,HR,190.58436101821823,144.35324688074914,237.68039220635413
2025-06-30,Cutter,HSE,277.14905940002495,235.39751491089208,314.01719184723873
2025-07-31,Cutter,HSE,233.20822998260974,191.15034807188667,274.1531038005167
2025-08-31,Cutter,HSE,166.9179353368856,127.07169493285295,205.87647647654987
2025-09-30,Cutter,HSE,307.70757179929404,265.0728308996446,347.1849021735114
2025-10-31,Cutter,HSE,161.99874141274694,124.11057507550079,197.92070169978447
2025-11-30,Cutter,HSE,101.87615067684928,59.80365874763197,141.21599144946882
2025-06-30,Cutter,IT,3.6571824398516526,-25.518820541080633,31.782990256454287
2025-07-31,Cutter,IT,143.01254761311247,113.11740601483322,171.9425938560443
2025-08-31,Cutter,IT,25.981242964081645,-2.725973351767081,53.83949052614673
2025-09-30,Cutter,IT,127.05554479278733,97.50781238567771,156.0063031049711
2025-10-31,Cutter,IT,333.2051107832782,306.856377339443,363.57509138851844
2025-11-30,Cutter,IT,92.8682847332731,65.4855382509811,120.61167979756853
2025-06-30,Cutter,Marketing,186.91773112983566,186.37265956452657,187.52463312217273
2025-07-31,Cutter,Marketing,37.69807457434508,35.862457709869275,39.7037597328838
2025-08-31,Cutter,Marketing,-32.57745387166136,-36.13218882492606,-28.632614324510982
2025-09-30,Cutter,Marketing,-47.2511003507812,-53.18643180951985,-40.93389761577578
2025-10-31,Cutter,Marketing,77.96018732595849,69.51563251796345,86.68869815078808
2025-11-30,Cutter,Marketing,30.839277253609293,19.624159206474143,42.223851867710096
2025-06-30,Cutter,PR,126.16938726228527,99.18282990766934,153.0180228918182
2025-07-31,Cutter,PR,31.402671344519575,5.20986146504157,56.80120216138252
2025-08-31,Cutter,PR,261.39240149879566,234.74019135814862,286.8313751653103
